StockCode,Description,NumberOfOrders,NumberOfCustomers,TotalQty,TotalPrice,AvgUnitPrice
20694,FLORAL PINK MONSTER,16,16,43,187.54000000000002,4.36139534883721
20695,FLORAL BLUE MONSTER,4,4,5,21.25,4.25
20696,FLORAL SOFT CAR TOY,30,30,54,230.8100000000001,4.274259259259261
20697,LITTLE GREEN MONSTER SOFT TOY,11,11,21,53.55,2.55
20698,LITTLE PINK MONSTER SOFT TOY,8,8,17,43.349999999999994,2.55
20699,MOUSEY LONG LEGS SOFT TOY,41,41,97,266.0299999999999,2.742577319587628
20700,GREEN CAT FLORAL CUSHION COVER ,54,54,73,345.1699999999998,4.728356164383559
20701,PINK CAT FLORAL CUSHION COVER ,18,18,25,100.97,4.0388
20702,PINK PADDED MOBILE,42,42,135,577.79,4.279925925925926
20703,BLUE PADDED SOFT MOBILE,4,4,-6,-25.5,4.25
20704,MR ROBOT SOFT TOY,45,45,212,669.9,3.1599056603773583
20705,MRS ROBOT SOFT TOY,29,29,142,426.9,3.0063380281690137
20707,CRAZY DAISY HEART DECORATION,150,150,463,467.14,1.0089416846652268
20711,JUMBO BAG TOYS ,528,528,4985,10974.309999999925,2.2014663991975776
20712,JUMBO BAG WOODLAND ANIMALS,867,867,9533,21665.95999999995,2.272732613028422
20713,JUMBO BAG OWLS,656,656,11201,22599.53000000002,2.017635032586378
20716,PARTY FOOD SHOPPER BAG,73,73,400,469.6299999999997,1.1740749999999993
20717,STRAWBERRY SHOPPER BAG,414,414,2835,3536.9800000000087,1.2476119929453293
20718,RED RETROSPOT SHOPPER BAG,579,579,4741,6570.050000000003,1.385794136258174
20719,WOODLAND CHARLOTTE BAG,836,836,13196,16672.34999999994,1.2634396786905078
20723,STRAWBERRY CHARLOTTE BAG,731,731,9723,12489.689999999968,1.2845510644862663
20724,RED RETROSPOT CHARLOTTE BAG,1042,1042,17545,21606.47999999998,1.2314893131946414
20725,LUNCH BAG RED RETROSPOT,1596,1596,18979,35187.31,1.8540128563148741
20726,LUNCH BAG WOODLAND,1025,1025,9851,18188.479999999898,1.8463587453050347
20727,LUNCH BAG  BLACK SKULL.,1287,1287,12112,22219.00999999997,1.834462516512547
20728,LUNCH BAG CARS BLUE,1161,1161,11603,21423.129999999957,1.8463440489528533
20731,POSY CANDY BAG,16,16,92,109.95999999999998,1.1952173913043476
20733,GOLD MINI TAPE MEASURE ,204,204,936,742.0600000000032,0.7927991452991487
20734,SILVER MINI TAPE MEASURE ,26,26,158,271.21999999999997,1.7165822784810125
20735,BLACK MINI TAPE MEASURE ,112,112,623,625.8,1.0044943820224719
20748,KENSINGTON COFFEE SET,34,34,57,751.1700000000001,13.178421052631581
20749,ASSORTED COLOUR MINI CASES,386,386,1762,12550.569999999982,7.122911464245165
20750,RED RETROSPOT MINI CASES,389,389,1742,12595.22999999999,7.230327210103324
20751,FUNKY WASHING UP GLOVES ASSORTED,198,198,1002,2106.6200000000017,2.1024151696606803
20752,BLUE POLKADOT WASHING UP GLOVES,150,150,412,930.9500000000015,2.2595873786407803
20754,RETROSPOT RED WASHING UP GLOVES,302,302,1457,3088.859999999998,2.1200137268359627
20755,BLUE PAISLEY POCKET BOOK,61,61,307,272.02000000000004,0.8860586319218242
20756,GREEN FERN POCKET BOOK,21,21,63,53.54999999999999,0.8499999999999999
20757,RED DAISY POCKET BOOK ,33,33,167,144.28999999999996,0.864011976047904
20758,ABSTRACT CIRCLES POCKET BOOK,42,42,162,137.6999999999999,0.8499999999999994
20759,CHRYSANTHEMUM POCKET BOOK ,20,20,64,54.400000000000006,0.8500000000000001
20760,GARDEN PATH POCKET BOOK,20,20,69,58.64999999999999,0.8499999999999999
20761,BLUE PAISLEY SKETCHBOOK,63,63,123,517.2199999999999,4.205040650406503
20762,GREEN FERN SKETCHBOOK ,56,56,106,420.08,3.963018867924528
20763,DAISY SKETCHBOOK ,27,27,73,205.04000000000002,2.8087671232876716
20764,ABSTRACT CIRCLES SKETCHBOOK ,76,76,144,610.8100000000005,4.2417361111111145
20765,CHRYSANTHEMUM SKETCHBOOK ,59,59,104,423.54999999999995,4.0725961538461535
20766,GARDEN PATH SKETCHBOOK,57,57,124,501.06999999999994,4.040887096774193
20767,BLUE PAISLEY JOURNAL ,79,79,253,663.7100000000003,2.6233596837944675
20768,GREEN FERN JOURNAL ,54,54,177,441.1199999999999,2.492203389830508
20769,DAISY JOURNAL ,33,33,80,217.5600000000001,2.719500000000001
20770,ABSTRACT CIRCLE JOURNAL ,72,72,185,449.79999999999956,2.431351351351349
20771,CHRYSANTHEMUM  JOURNAL,40,40,103,269.68000000000006,2.6182524271844665
20772,GARDEN PATH JOURNAL,64,64,246,618.6400000000002,2.5147967479674804
20773,BLUE PAISLEY NOTEBOOK,23,23,56,92.39999999999998,1.6499999999999997
20774,GREEN FERN NOTEBOOK,44,44,86,141.23999999999992,1.642325581395348
20775,DAISY NOTEBOOK ,63,63,135,235.18999999999974,1.7421481481481462
20777,CHRYSANTHEMUM NOTEBOOK,79,79,169,282.48999999999984,1.6715384615384605
20778,GARDEN PATH NOTEBOOK ,8,8,15,24.749999999999996,1.6499999999999997
20780,BLACK EAR MUFF HEADPHONES,28,28,48,318.1900000000001,6.628958333333336
20781,GOLD EAR MUFF HEADPHONES,26,26,37,216.16000000000003,5.842162162162163
20782,CAMOUFLAGE EAR MUFF HEADPHONES,27,27,54,373.5700000000001,6.917962962962965
20785,FUSCHIA RETRO BAR STOOL,5,5,14,523.3000000000001,37.37857142857143
20793,BLUE TILED TRAY,5,5,3,20.25,6.75
20794,BLUE  TILE HOOK,29,29,90,259.84000000000003,2.8871111111111114
20795,LARGE BLUE PROVENCAL CERAMIC BALL,13,13,43,100.45,2.336046511627907
20796,SMALL BLUE PROVENCAL CERAMIC BALL,9,9,62,103.94,1.6764516129032259
20798,CLEAR MILKSHAKE GLASS,6,6,32,69.0,2.15625
20801,LARGE PINK GLASS SUNDAE DISH,83,83,981,1133.7999999999997,1.1557594291539244
20802,SMALL GLASS SUNDAE DISH CLEAR,65,65,700,964.3999999999999,1.3777142857142854
20803,SMALL PINK GLASS SUNDAE DISH,42,42,877,450.1600000000001,0.5132953249714938
20816,GOLD FLOWER CUSHION COVER ,1,1,8,15.6,1.95
20818,GOLD TEDDY BEAR,5,5,15,42.7,2.8466666666666667
20819,SILVER TEDDY BEAR,27,27,64,244.72000000000006,3.823750000000001
20820,SILVER LOOKING MIRROR,2,2,5,24.75,4.95
20821,GOLDIE LOOKING MIRROR,8,8,5,24.750000000000004,4.950000000000001
20823,GOLD WINE GOBLET,8,8,168,132.72,0.79
20826,SILVER APERITIF GLASS,8,8,276,128.40000000000003,0.46521739130434797
20827,GOLD APERITIF GLASS,2,2,88,34.32,0.39
20828,GLITTER BUTTERFLY CLIPS,241,241,1130,3079.880000000003,2.7255575221238963
20829,GLITTER HANGING BUTTERFLY STRING,198,198,1195,2519.7900000000013,2.108610878661089
20830,SILVER PHOTO FRAME,38,38,135,407.72999999999996,3.020222222222222
20831,GOLD PHOTO FRAME,39,39,216,466.52999999999986,2.1598611111111103
20832,RED FLOCK LOVE HEART PHOTO FRAME,83,83,1090,581.1799999999996,0.5331926605504583
20835,FRENCH LATTICE CUSHION COVER ,8,8,67,65.8,0.9820895522388059
20836,FRENCH PAISLEY CUSHION COVER,18,18,158,131.13999999999996,0.8299999999999997
20837,FRENCH FLORAL CUSHION COVER ,15,15,141,142.46999999999997,1.0104255319148934
20838,FRENCH LATTICE CUSHION COVER ,58,58,373,451.25000000000017,1.2097855227882042
20839,FRENCH PAISLEY CUSHION COVER ,105,105,575,840.4399999999999,1.4616347826086955
20840,FRENCH FLORAL CUSHION COVER ,74,74,521,622.12,1.194088291746641
20845,ZINC HEART LATTICE 2 WALL PLANTER,10,10,19,120.64999999999999,6.35
20846,ZINC HEART LATTICE T-LIGHT HOLDER,88,88,717,958.5700000000002,1.3369177126917715
20847,ZINC HEART LATTICE CHARGER LARGE,18,18,52,217.57999999999998,4.184230769230769
20848,ZINC HEART LATTICE CHARGER SMALL,8,8,21,61.95,2.95
20851,ZINC HEART LATTICE TRAY OVAL ,7,7,9,53.55000000000001,5.950000000000001
20854,BLUE PATCH PURSE PINK HEART,42,42,230,363.22,1.579217391304348
20856,DENIM PATCH PURSE PINK BUTTERFLY,62,62,206,340.78999999999974,1.6543203883495132
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,9,9,17,28.049999999999997,1.65
20860,,1,1,1,2.1,2.1
20861,GOLD COSMETIC BAG PINK STAR,2,2,2,4.2,2.1
20866,BLUE ROSE FABRIC MIRROR,91,91,478,583.7500000000001,1.2212343096234313
20867,PINK ROSE FABRIC MIRROR,62,62,331,393.46999999999997,1.1887311178247733
20868,SILVER FABRIC MIRROR,46,46,458,219.35000000000002,0.4789301310043669
20869,GOLD FABRIC MIRROR,29,29,180,86.75999999999999,0.48199999999999993
20871,OPULENT VELVET SET/3 CANDLES,1,1,2,8.42,4.21
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,7,7,25,31.25,1.25
20886,BOX OF 9 PEBBLE CANDLES,104,104,480,976.4799999999999,2.034333333333333
20892,,3,3,4,89.22,22.305
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,27,27,233,535.9700000000001,2.30030042918455
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,15,15,33,108.71000000000004,3.2942424242424253
20897,VINTAGE NOTEBOOK PARIS DAYS,26,26,95,262.87,2.7670526315789474
20898,VINTAGE NOTEBOOK TRAVELOGUE,14,14,32,88.02999999999999,2.7509374999999996
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,16,16,18,78.78,4.376666666666667
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,56,56,112,686.8599999999998,6.13267857142857
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,56,56,82,441.8899999999998,5.388902439024388
20906,VINTAGE NOTEBOOK BEAUTY GIRL,2,2,3,8.850000000000001,2.9500000000000006
20910,VINTAGE PHOTO ALBUM PARIS DAYS,3,3,8,50.8,6.35
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,906,906,6265,18089.350000000217,2.8873663208300426
20931,BLUE POT PLANT CANDLE ,71,71,284,1015.8500000000007,3.5769366197183126
20932,PINK POT PLANT CANDLE,37,37,194,599.2900000000002,3.089123711340207
20933,YELLOW POT PLANT CANDLE,9,9,23,71.05000000000001,3.0891304347826094
20934,SET/3 POT PLANT CANDLES,36,36,54,349.1600000000002,6.465925925925929
20935,ROUND CACTUS CANDLE,4,4,6,17.700000000000003,2.9500000000000006
20936,FORKED CACTUS CANDLE,34,34,99,316.71000000000015,3.1990909090909105
20941,FROG CANDLE,20,20,62,81.28,1.310967741935484
20954,*USB Office Mirror Ball,2,2,2,16.94,8.47
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,103,103,819,1142.770000000001,1.3953235653235665
20957,PORCELAIN HANGING BELL SMALL,1,1,-1,-1.45,1.45
20960,WATERMELON BATH SPONGE,10,10,29,72.48999999999998,2.4996551724137923
20961,STRAWBERRY BATH SPONGE ,227,227,1185,1686.6800000000028,1.4233586497890318
20963,APPLE BATH SPONGE,229,229,1338,1913.6700000000028,1.4302466367713025
20964,,1,1,2,5.1,2.55
20966,SANDWICH BATH SPONGE,97,97,719,1022.8,1.422531293463143
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,82,82,266,1031.69,3.878533834586466
20969,RED FLORAL FELTCRAFT SHOULDER BAG,301,301,1673,6256.86,3.7399043634190074
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,259,259,1114,4224.629999999999,3.7923070017953315
20971,PINK BLUE FELT CRAFT TRINKET BOX,519,519,8384,11059.32999999998,1.3190994751908374
20972,PINK CREAM FELT CRAFT TRINKET BOX ,613,613,7338,9129.309999999967,1.2441142000545062
20973,12 PENCIL SMALL TUBE WOODLAND,354,354,4502,3213.5199999999995,0.7137983118613949
20974,12 PENCILS SMALL TUBE SKULL,358,358,6417,4164.079999999996,0.6489138226585626
20975,12 PENCILS SMALL TUBE RED RETROSPOT,362,362,6520,4309.819999999996,0.6610153374233123
20977,36 PENCILS TUBE WOODLAND,187,187,1666,2237.3900000000017,1.3429711884753912
20978,36 PENCILS TUBE SKULLS,264,264,1783,2380.0500000000043,1.334856982613575
20979,36 PENCILS TUBE RED RETROSPOT,337,337,3579,4529.980000000005,1.2657110924839354
20980,36 PENCILS TUBE POSY,21,21,70,65.66,0.938
20981,12 PENCILS TALL TUBE WOODLAND,251,251,1957,1726.120000000006,0.8820235053653582
20982,12 PENCILS TALL TUBE SKULLS,255,255,2152,1881.5200000000057,0.8743122676579952
20983,12 PENCILS TALL TUBE RED RETROSPOT,271,271,2739,2376.510000000003,0.8676560788608992
20984,12 PENCILS TALL TUBE POSY,171,171,3788,1166.9400000000014,0.30806230200633616
20985,HEART CALCULATOR,133,133,1167,1526.1600000000012,1.30776349614396
20986,BLUE CALCULATOR RULER,111,111,657,833.4900000000005,1.268630136986302
20992,JAZZ HEARTS PURSE NOTEBOOK,275,275,4451,1965.809999999998,0.44165580768366614
20996,JAZZ HEARTS ADDRESS BOOK,225,225,3194,727.4599999999997,0.2277582968065121
20997,ROSE DU SUD CUSHION COVER ,34,34,59,257.60999999999996,4.366271186440677
20998,ROSE DU SUD OVEN GLOVE,69,69,185,505.1999999999999,2.73081081081081
21000,ROSE DU SUD COSMETICS BAG,52,52,97,365.09000000000043,3.763814432989695
21001,ROSE DU SUD WASHBAG ,50,50,74,354.1399999999999,4.785675675675674
21002,ROSE DU SUD DRAWSTRING BAG,66,66,125,428.66000000000025,3.429280000000002
21003,ROSE DU SUD CUSHION COVER,46,46,78,460.58,5.904871794871795
21009,,1,1,1,1.25,1.25
21011,GLITTER SNOW PEAR TREE DECORATION,3,3,20,28.999999999999996,1.4499999999999997
21012,ANTIQUE ALL GLASS CANDLESTICK,200,200,1168,2611.9500000000035,2.2362585616438384
21014,SWISS CHALET TREE DECORATION ,119,119,1385,598.8199999999998,0.4323610108303248
21015,DARK BIRD HOUSE TREE DECORATION,143,143,1481,588.9699999999996,0.3976839972991219
21018,BIRD BOX CHRISTMAS TREE DECORATION,6,6,24,22.060000000000002,0.9191666666666668
21025,SPACE FROG,56,56,174,233.52,1.3420689655172415
21026,SPACE OWL,68,68,258,319.4999999999997,1.2383720930232547
21027,NINJA RABBIT PINK,42,42,169,190.29000000000005,1.125976331360947
21028,NINJA RABBIT BLACK,58,58,187,239.24000000000012,1.279358288770054
21030,SPACE CADET RED,33,33,141,172.20000000000007,1.2212765957446814
21031,SPACE CADET BLACK,19,19,53,65.49,1.2356603773584904
21032,SPACE CADET WHITE,30,30,98,119.02999999999996,1.2145918367346935
