StockCode,Description,NumberOfOrders,NumberOfCustomers,TotalQty,TotalPrice,AvgUnitPrice
20725,LUNCH BAG RED RETROSPOT,1596,1596,18979,35187.31,1.8540128563148741
20726,LUNCH BAG WOODLAND,1025,1025,9851,18188.48,1.8463587453050452
20727,LUNCH BAG  BLACK SKULL.,1287,1287,12112,22219.01,1.8344625165125494
20728,LUNCH BAG CARS BLUE,1161,1161,11603,21423.13,1.846344048952857
20731,POSY CANDY BAG,16,16,92,109.96,1.1952173913043478
20733,GOLD MINI TAPE MEASURE ,204,204,936,742.06,0.7927991452991452
20734,SILVER MINI TAPE MEASURE ,26,26,158,271.21999999999997,1.7165822784810125
20735,BLACK MINI TAPE MEASURE ,112,112,623,625.8,1.0044943820224719
20748,KENSINGTON COFFEE SET,34,34,57,751.17,13.178421052631577
20749,ASSORTED COLOUR MINI CASES,386,386,1762,12550.57,7.122911464245176
20750,RED RETROSPOT MINI CASES,389,389,1742,12595.23,7.230327210103329
20751,FUNKY WASHING UP GLOVES ASSORTED,198,198,1002,2106.6200000000003,2.102415169660679
20752,BLUE POLKADOT WASHING UP GLOVES,150,150,412,930.95,2.2595873786407767
20754,RETROSPOT RED WASHING UP GLOVES,302,302,1457,3088.86,2.1200137268359645
20755,BLUE PAISLEY POCKET BOOK,61,61,307,272.02,0.886058631921824
20756,GREEN FERN POCKET BOOK,21,21,63,53.55,0.85
20757,RED DAISY POCKET BOOK ,33,33,167,144.29,0.8640119760479041
20758,ABSTRACT CIRCLES POCKET BOOK,42,42,162,137.7,0.85
20759,CHRYSANTHEMUM POCKET BOOK ,20,20,64,54.4,0.85
20760,GARDEN PATH POCKET BOOK,20,20,69,58.65,0.85
20761,BLUE PAISLEY SKETCHBOOK,63,63,123,517.22,4.205040650406504
20762,GREEN FERN SKETCHBOOK ,56,56,106,420.08,3.963018867924528
20763,DAISY SKETCHBOOK ,27,27,73,205.04,2.808767123287671
20764,ABSTRACT CIRCLES SKETCHBOOK ,76,76,144,610.81,4.241736111111111
20765,CHRYSANTHEMUM SKETCHBOOK ,59,59,104,423.55,4.072596153846154
20766,GARDEN PATH SKETCHBOOK,57,57,124,501.07,4.040887096774194
20767,BLUE PAISLEY JOURNAL ,79,79,253,663.7099999999999,2.623359683794466
20768,GREEN FERN JOURNAL ,54,54,177,441.12,2.4922033898305087
20769,DAISY JOURNAL ,33,33,80,217.55999999999997,2.7194999999999996
20770,ABSTRACT CIRCLE JOURNAL ,72,72,185,449.8,2.4313513513513514
20771,CHRYSANTHEMUM  JOURNAL,40,40,103,269.68,2.618252427184466
20772,GARDEN PATH JOURNAL,64,64,246,618.64,2.5147967479674795
20773,BLUE PAISLEY NOTEBOOK,23,23,56,92.39999999999999,1.65
20774,GREEN FERN NOTEBOOK,44,44,86,141.23999999999998,1.6423255813953486
20775,DAISY NOTEBOOK ,63,63,135,235.18999999999997,1.742148148148148
20777,CHRYSANTHEMUM NOTEBOOK,79,79,169,282.48999999999995,1.6715384615384612
20778,GARDEN PATH NOTEBOOK ,8,8,15,24.75,1.65
20780,BLACK EAR MUFF HEADPHONES,28,28,48,318.19,6.628958333333333
20781,GOLD EAR MUFF HEADPHONES,26,26,37,216.16,5.842162162162162
20782,CAMOUFLAGE EAR MUFF HEADPHONES,27,27,54,373.57,6.917962962962963
20785,FUSCHIA RETRO BAR STOOL,5,5,14,523.3,37.378571428571426
20793,BLUE TILED TRAY,5,5,3,20.25,6.75
20794,BLUE  TILE HOOK,29,29,90,259.84,2.887111111111111
20795,LARGE BLUE PROVENCAL CERAMIC BALL,13,13,43,100.45000000000002,2.336046511627907
20796,SMALL BLUE PROVENCAL CERAMIC BALL,9,9,62,103.94,1.6764516129032259
20798,CLEAR MILKSHAKE GLASS,6,6,32,69.0,2.15625
20801,LARGE PINK GLASS SUNDAE DISH,83,83,981,1133.8,1.1557594291539246
20802,SMALL GLASS SUNDAE DISH CLEAR,65,65,700,964.4,1.3777142857142857
20803,SMALL PINK GLASS SUNDAE DISH,42,42,877,450.16,0.5132953249714938
20816,GOLD FLOWER CUSHION COVER ,1,1,8,15.6,1.95
20818,GOLD TEDDY BEAR,5,5,15,42.7,2.8466666666666667
20819,SILVER TEDDY BEAR,27,27,64,244.72,3.82375
20820,SILVER LOOKING MIRROR,2,2,5,24.75,4.95
20821,GOLDIE LOOKING MIRROR,8,8,5,24.75,4.95
20823,GOLD WINE GOBLET,8,8,168,132.72,0.79
20826,SILVER APERITIF GLASS,8,8,276,128.4,0.46521739130434786
20827,GOLD APERITIF GLASS,2,2,88,34.32,0.39
20828,GLITTER BUTTERFLY CLIPS,241,241,1130,3079.8799999999997,2.7255575221238937
20829,GLITTER HANGING BUTTERFLY STRING,198,198,1195,2519.79,2.108610878661088
20830,SILVER PHOTO FRAME,38,38,135,407.73,3.0202222222222224
20831,GOLD PHOTO FRAME,39,39,216,466.53000000000003,2.1598611111111112
20832,RED FLOCK LOVE HEART PHOTO FRAME,83,83,1090,581.18,0.5331926605504587
20835,FRENCH LATTICE CUSHION COVER ,8,8,67,65.8,0.9820895522388059
20836,FRENCH PAISLEY CUSHION COVER,18,18,158,131.14,0.83
20837,FRENCH FLORAL CUSHION COVER ,15,15,141,142.47,1.0104255319148936
20838,FRENCH LATTICE CUSHION COVER ,58,58,373,451.25,1.2097855227882037
20839,FRENCH PAISLEY CUSHION COVER ,105,105,575,840.44,1.4616347826086957
20840,FRENCH FLORAL CUSHION COVER ,74,74,521,622.12,1.194088291746641
20845,ZINC HEART LATTICE 2 WALL PLANTER,10,10,19,120.64999999999999,6.35
20846,ZINC HEART LATTICE T-LIGHT HOLDER,88,88,717,958.57,1.3369177126917713
20847,ZINC HEART LATTICE CHARGER LARGE,18,18,52,217.58,4.184230769230769
20848,ZINC HEART LATTICE CHARGER SMALL,8,8,21,61.95,2.95
20851,ZINC HEART LATTICE TRAY OVAL ,7,7,9,53.55,5.949999999999999
20854,BLUE PATCH PURSE PINK HEART,42,42,230,363.21999999999997,1.5792173913043477
20856,DENIM PATCH PURSE PINK BUTTERFLY,62,62,206,340.78999999999996,1.6543203883495143
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,9,9,17,28.05,1.6500000000000001
20860,,1,1,1,2.1,2.1
20861,GOLD COSMETIC BAG PINK STAR,2,2,2,4.2,2.1
20866,BLUE ROSE FABRIC MIRROR,91,91,478,583.75,1.221234309623431
20867,PINK ROSE FABRIC MIRROR,62,62,331,393.46999999999997,1.1887311178247733
20868,SILVER FABRIC MIRROR,46,46,458,219.35,0.4789301310043668
20869,GOLD FABRIC MIRROR,29,29,180,86.76,0.48200000000000004
20871,OPULENT VELVET SET/3 CANDLES,1,1,2,8.42,4.21
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,7,7,25,31.25,1.25
20886,BOX OF 9 PEBBLE CANDLES,104,104,480,976.4799999999999,2.034333333333333
20892,,3,3,4,89.22,22.305
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,27,27,233,535.97,2.3003004291845497
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,15,15,33,108.71000000000001,3.2942424242424244
20897,VINTAGE NOTEBOOK PARIS DAYS,26,26,95,262.87,2.7670526315789474
20898,VINTAGE NOTEBOOK TRAVELOGUE,14,14,32,88.03,2.7509375
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,16,16,18,78.78,4.376666666666667
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,56,56,112,686.86,6.132678571428571
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,56,56,82,441.89,5.38890243902439
20906,VINTAGE NOTEBOOK BEAUTY GIRL,2,2,3,8.850000000000001,2.9500000000000006
20910,VINTAGE PHOTO ALBUM PARIS DAYS,3,3,8,50.8,6.35
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,906,906,6265,18089.350000000002,2.8873663208300084
20931,BLUE POT PLANT CANDLE ,71,71,284,1015.8500000000001,3.5769366197183103
20932,PINK POT PLANT CANDLE,37,37,194,599.2900000000001,3.0891237113402066
20933,YELLOW POT PLANT CANDLE,9,9,23,71.05000000000001,3.0891304347826094
20934,SET/3 POT PLANT CANDLES,36,36,54,349.16,6.4659259259259265
20935,ROUND CACTUS CANDLE,4,4,6,17.700000000000003,2.9500000000000006
20936,FORKED CACTUS CANDLE,34,34,99,316.71000000000004,3.1990909090909097
20941,FROG CANDLE,20,20,62,81.28,1.310967741935484
20954,*USB Office Mirror Ball,2,2,2,16.94,8.47
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,103,103,819,1142.77,1.3953235653235654
20957,PORCELAIN HANGING BELL SMALL,1,1,-1,-1.45,1.45
20960,WATERMELON BATH SPONGE,10,10,29,72.49,2.4996551724137928
20961,STRAWBERRY BATH SPONGE ,227,227,1185,1686.68,1.4233586497890296
20963,APPLE BATH SPONGE,229,229,1338,1913.67,1.4302466367713005
20964,,1,1,2,5.1,2.55
20966,SANDWICH BATH SPONGE,97,97,719,1022.8,1.422531293463143
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,82,82,266,1031.69,3.878533834586466
20969,RED FLORAL FELTCRAFT SHOULDER BAG,301,301,1673,6256.86,3.7399043634190074
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,259,259,1114,4224.63,3.7923070017953324
20971,PINK BLUE FELT CRAFT TRINKET BOX,519,519,8384,11059.33,1.3190994751908396
20972,PINK CREAM FELT CRAFT TRINKET BOX ,613,613,7338,9129.31,1.2441142000545107
20973,12 PENCIL SMALL TUBE WOODLAND,354,354,4502,3213.52,0.713798311861395
20974,12 PENCILS SMALL TUBE SKULL,358,358,6417,4164.08,0.6489138226585632
20975,12 PENCILS SMALL TUBE RED RETROSPOT,362,362,6520,4309.820000000001,0.661015337423313
20977,36 PENCILS TUBE WOODLAND,187,187,1666,2237.39,1.34297118847539
20978,36 PENCILS TUBE SKULLS,264,264,1783,2380.05,1.3348569826135728
20979,36 PENCILS TUBE RED RETROSPOT,337,337,3579,4529.9800000000005,1.265711092483934
20980,36 PENCILS TUBE POSY,21,21,70,65.66,0.938
20981,12 PENCILS TALL TUBE WOODLAND,251,251,1957,1726.12,0.8820235053653551
20982,12 PENCILS TALL TUBE SKULLS,255,255,2152,1881.52,0.8743122676579925
20983,12 PENCILS TALL TUBE RED RETROSPOT,271,271,2739,2376.5099999999998,0.867656078860898
20984,12 PENCILS TALL TUBE POSY,171,171,3788,1166.9399999999998,0.3080623020063358
20985,HEART CALCULATOR,133,133,1167,1526.16,1.307763496143959
20986,BLUE CALCULATOR RULER,111,111,657,833.49,1.2686301369863013
20992,JAZZ HEARTS PURSE NOTEBOOK,275,275,4451,1965.81,0.4416558076836666
20996,JAZZ HEARTS ADDRESS BOOK,225,225,3194,727.46,0.22775829680651222
20997,ROSE DU SUD CUSHION COVER ,34,34,59,257.61,4.366271186440678
20998,ROSE DU SUD OVEN GLOVE,69,69,185,505.20000000000005,2.730810810810811
21000,ROSE DU SUD COSMETICS BAG,52,52,97,365.09,3.7638144329896903
21001,ROSE DU SUD WASHBAG ,50,50,74,354.14,4.785675675675676
21002,ROSE DU SUD DRAWSTRING BAG,66,66,125,428.66,3.4292800000000003
21003,ROSE DU SUD CUSHION COVER,46,46,78,460.58,5.904871794871795
21009,,1,1,1,1.25,1.25
21011,GLITTER SNOW PEAR TREE DECORATION,3,3,20,28.999999999999996,1.4499999999999997
21012,ANTIQUE ALL GLASS CANDLESTICK,200,200,1168,2611.9500000000003,2.2362585616438357
21014,SWISS CHALET TREE DECORATION ,119,119,1385,598.8199999999999,0.43236101083032485
21015,DARK BIRD HOUSE TREE DECORATION,143,143,1481,588.9699999999999,0.3976839972991222
21018,BIRD BOX CHRISTMAS TREE DECORATION,6,6,24,22.06,0.9191666666666666
21025,SPACE FROG,56,56,174,233.52,1.3420689655172415
21026,SPACE OWL,68,68,258,319.5,1.2383720930232558
21027,NINJA RABBIT PINK,42,42,169,190.29,1.1259763313609468
21028,NINJA RABBIT BLACK,58,58,187,239.24,1.2793582887700534
21030,SPACE CADET RED,33,33,141,172.2,1.2212765957446807
21031,SPACE CADET BLACK,19,19,53,65.49,1.2356603773584904
21032,SPACE CADET WHITE,30,30,98,119.03,1.214591836734694
21033,JUMBO BAG CHARLIE AND LOLA TOYS,301,301,1932,4852.0199999999995,2.51139751552795
21034,REX CASH+CARRY JUMBO SHOPPER,858,858,1918,1822.1,0.95
21035,SET/2 RED RETROSPOT TEA TOWELS ,392,392,2403,7999.85,3.329109446525177
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,22,22,75,80.85000000000001,1.078
21039,RED RETROSPOT SHOPPING BAG,92,92,511,1323.09,2.589217221135029
21040,MODERN VINTAGE COTTON SHOPPING BAG,8,8,22,29.7,1.3499999999999999
21041,RED RETROSPOT OVEN GLOVE DOUBLE,258,258,918,3900.78,4.24921568627451
21042,RED RETROSPOT APRON ,134,134,329,2171.07,6.598996960486323
21043,APRON MODERN VINTAGE COTTON,90,90,494,1143.76,2.3153036437246963
21051,RIBBONS PURSE ,51,51,192,377.2,1.9645833333333333
21054,NURSE'S BAG SOFT TOY,29,29,70,634.53,9.064714285714285
21055,TOOL BOX SOFT TOY ,106,106,174,1728.84,9.935862068965516
21056,DOCTOR'S BAG SOFT TOY,72,72,182,1747.5,9.601648351648352
21058,PARTY INVITES WOODLAND,122,122,1145,958.01,0.8366899563318777
21059,PARTY INVITES DINOSAURS,95,95,599,518.03,0.8648247078464106
21060,PARTY INVITES BALLOON GIRL,71,71,405,359.28999999999996,0.8871358024691357
21061,PARTY INVITES FOOTBALL,83,83,488,451.7,0.9256147540983606
